Lane, Study number,Accession,Contig Accession number,Species ,Kingdom,Phylum,Class,Order,Family,Genus,LEE,LEE_Type,Continet,Country,DataBase,OAnt,Linked.Serotype,Reference.For.Linked.Serotype,Pathovar,Wild.Hosts,Phylogroup_N,ST,aaiC,aap,aar,aatA,agg,ailA,air,astA,capU,cba,cdtB,celb,cif,cma,cnf1,eae,efa1,ehxA,eilA,esp,etpD,f17,gad,iha,IpfA,ireA,iroN,iss,katP,ltcA,mch,mcmA,nle,pic,sat,senB,sepA,sfaS,stx,tccP,tir,vat,mdf.A.,mph.A,fosA,fosA7,sul1,sul2,tet.A.,tet.B.,aac.3..Via,aadA1,aadA5,aph.3...Ia,aph.3....Ib,aph.6..Id,blaTEM.1B,catA1,dfrA8,dfrA17,Nalidixic.acid.Ciprofloxacin,Erythromycin.Azithromycin.Telithromycin,Number.of.contigs,N50.value,Number of total reads,X%of Reads Unclassified,X%of Reads Escherichia coli,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
24742_1#104, PRJEB23294,ERS1995074, CAJGWA010000001-CAJGWA010000062 ,Perognathus penicillatus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,NF,NF,North America,Mexico,Souza,O88,O88:H9,No report,NF,Wild,B1,423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,8,725124,3.61,49.18,S,S,S,S,S,S,S,S,S
25964_1#183, PRJEB23294,ERS2428306, CAJGVP010000001-CAJGVP010000043 ,Nyctomys sp.,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nyctomys,NF,NF,North America,Mexico,Souza,O81,O81:H22,http://europepmc.org/articles/pmc156493,STEC,Wild,B1,737,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7,1036544,2.53,50.44,R,S,S,S,S,S,S,S,S
24742_1#37, PRJEB23294,ERS1994985, CAJGVK010000001-CAJGVK010000040 ,Urocyon cinereoargenteus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,NF,NF,North America,Mexico,Souza,O81,O81:H21,Goats,NF,Wild,B1,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,830760,1.31,49.75,R,S,S,S,S,S,S,S,S
24742_1#35, PRJEB23294,ERS1994983, CAJGWD010000001-CAJGWD010000056 ,Sigmodon mascotensis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,NF,NF,North America,Mexico,Souza,O81,O81:H21,http://europepmc.org/articles/pmc156492,STEC,Wild,B1,737,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,797221,2.51,49.75,R,S,S,S,S,S,S,S,S
25964_1#97, PRJEB23294,ERS2428220, CAJGWK010000001-CAJGWK010000039 ,Bassariscus astutus,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,NF,NF,North America,Mexico,Souza,O8,O8:H4,https://www.ncbi.nlm.nih.gov/pubmed/18515483,STEC,Wild,B1,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,1064787,0.44,49.1,R,S,S,S,S,S,S,S,S
25964_1#329, PRJEB23294,ERS2428452, CAJGVN010000001-CAJGVN010000035 ,Canis familiaris,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,NF,NF,North America,Mexico,Souza,O8,O8:H49,https://jcm.asm.org/content/jcm/39/5/2017.full.pdf,STEC,Domestic,B1,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,987711,0.78,50.07,R,S,S,S,S,S,S,S,S
25964_1#263, PRJEB23294,ERS2428387, CAJGVM010000001-CAJGVM010000045 ,Procyon lotor,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,NF,NF,North America,Mexico,Souza,O8,O8:H9,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jac/69/11/10.1093_jac_dku270/1/dku270.pdf?Expires=2147483647&Signature=JPmB0hllt27J6gEL068DEvqTbeLzBfPYNrRFQ4A0~y4LnwcyJ~b4nYDkUCjO~bcsRBolbTTsf9j-4sjW3eVtVO9lgskq-PYw-Sjf7CiBOTkQCYoXX-PImfN5m3xbdFq7iEn-w3Ukmp5zYUmeicLx8psudrDGnqAdawY0oCdtO2zDolOXOJcSPWlCCEpwRei9RfOxVVWrwxy6tbB9Le8APZP4vp6OQgQScFV88LecYsufJUskxOYuII49OXci4RGYYX7JStmbznFGrLHBPn9JEscWQU0sldgYThI0V-jJdBBLIHUCCKV9OfMNFg-SRnDGK2qqNJX8yf7KDKRtVxjU1w__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,ETEC,Wild,B1,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,1182586,2.62,49.63,R,S,S,S,S,S,S,S,S
25964_1#239, PRJEB23294,ERS2428362, CAJGWH010000001-CAJGWH010000037 ,Peromyscus sp.,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,NF,NF,North America,Mexico,Souza,O8,O8:H16,https://books.google.co.uk/books?id=651HFhtY748C&pg=PA225&lpg=PA225&dq=%22O8:H16%22+livestock&source=bl&ots=ljrGjinmA3&sig=ACfU3U3g5QR14Nr91Bo_IjMAjyyRYMMadg&hl=en&sa=X&ved=2ahUKEwjL4Zea04XkAhVESRUIHfNzD3QQ6AEwAHoECAgQAQ#v=onepage&q=%22O8%3AH16%22%20livestock&f=false,STEC,Wild,NF,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,1195628,3.57,47.37,R,S,S,S,S,S,S,S,S
25964_1#135, PRJEB23294,ERS2428258, CAJGHE010000001-CAJGHE010000032 ,Lutra longicaudis,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,NF,NF,North America,Mexico,Souza,O8,O8:H8,https://jcm.asm.org/content/45/2/333,STEC,Zoo,B1,4281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,1190296,1.19,48.43,R,S,S,S,S,S,S,S,S
25964_1#116, PRJEB23294,ERS2428239, CAJGVQ010000001-CAJGVQ010000039 ,Didelphis virginiana,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,NF,NF,North America,Mexico,Souza,O8,O8:H40,NF,STEC,Wild,A,4287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,1214339,0.81,60.25,S,S,S,S,S,S,S,S,S
24742_1#74, PRJEB23294,ERS1995037, CAJGHM010000001-CAJGHM010000113 ,Felis concolor,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,NF,NF,North America,Mexico,Souza,O8,O8:H10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3318799/,STEC,Wild,F,1276,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,8,803136,6.32,79.14,R,S,S,S,S,S,S,S,S
24742_1#69, PRJEB23294,ERS1995012, CAJGVS010000001-CAJGVS010000046 ,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,NF,NF,North America,Mexico,Souza,O8,O8:H49,https://www.sciencedirect.com/science/article/pii/S2352771418300648,STEC,Domestic,B1,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,8,858095,0.86,49.02,R,S,S,S,S,S,S,S,S
24742_1#65, PRJEB23294,ERS1995007,CAJHCN010000001-CAJHCN010000046,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,NF,NF,North America,Mexico,Souza,O8,O8:H49,https://www.sciencedirect.com/science/article/pii/S2352771418300648,STEC,Domestic,B1,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8,718987,0.85,49.18,R,S,S,S,S,S,S,S,S
24742_1#51, PRJEB23294,ERS1995000, CAJGVT010000001-CAJGVT010000053 ,Tayassu tajacu,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari,NF,NF,North America,Mexico,Souza,O8,O8:H21,https://jhu.pure.elsevier.com/en/publications/occurrence-of-hybrid-escherichia-coli-strains-carrying-shiga-toxi,ETEC,Wild,B1,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,53,8,851242,0.84,47.91,R,S,S,S,S,S,S,S,S
24742_1#41, PRJEB23294,ERS1994990, CAJGVX010000001-CAJGVX010000042 ,Peromyscus sp.,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,NF,NF,North America,Mexico,Souza,O8,O8:H16,https://books.google.co.uk/books?id=651HFhtY748C&pg=PA225&lpg=PA225&dq=%22O8:H16%22+livestock&source=bl&ots=ljrGjinmA3&sig=ACfU3U3g5QR14Nr91Bo_IjMAjyyRYMMadg&hl=en&sa=X&ved=2ahUKEwjL4Zea04XkAhVESRUIHfNzD3QQ6AEwAHoECAgQAQ#v=onepage&q=%22O8%3AH16%22%20livestock&f=false,STEC,Wild,NF,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,772595,3,46.28,R,S,S,S,S,S,S,S,S
24742_1#27, PRJEB23294,ERS1994972, CAJGHL010000001-CAJGHL010000043 ,Canis familiaris,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,NF,NF,North America,Mexico,Souza,O8,O8:H49,https://jcm.asm.org/content/jcm/39/5/2017.full.pdf,STEC,Domestic,B1,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8,753267,0.83,49.25,R,S,S,S,S,S,S,S,S
24742_1#110, PRJEB23294,ERS1995080, CAJGVW010000001-CAJGVW010000037 ,Peromyscus sp.,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,NF,NF,North America,Mexico,Souza,O8,O8:H16,https://books.google.co.uk/books?id=651HFhtY748C&pg=PA225&lpg=PA225&dq=%22O8:H16%22+livestock&source=bl&ots=ljrGjinmA3&sig=ACfU3U3g5QR14Nr91Bo_IjMAjyyRYMMadg&hl=en&sa=X&ved=2ahUKEwjL4Zea04XkAhVESRUIHfNzD3QQ6AEwAHoECAgQAQ#v=onepage&q=%22O8%3AH16%22%20livestock&f=false,STEC,Wild,NF,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,979446,2.82,46.26,R,S,S,S,S,S,S,S,S
24742_1#107, PRJEB23294,ERS1995077, CAJGWG010000001-CAJGWG010000065 ,Tapirus bairdii,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,NF,NF,North America,Mexico,Souza,O8,O8:H7,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0183248,STEC,Wild,NF,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,75,9,715058,2.65,46.65,R,S,S,S,S,S,S,S,S
24742_1#34, PRJEB23294,ERS1994982, CAJGEM010000001-CAJGEM010000025 ,Peromyscus boylii,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,NF,NF,North America,Mexico,Souza,O79,O79:H1,https://books.google.co.uk/books?id=ZWtZDwAAQBAJ&pg=PA22&lpg=PA22&dq=%22O79:H1%22+livestock&source=bl&ots=Dd3howSP_I&sig=ACfU3U37Q2CAxkdnzZhl7CXcqNFr1mNhRw&hl=en&sa=X&ved=2ahUKEwil3Orn14XkAhUNUBUIHQKkDckQ6AEwAHoECAQQAQ#v=onepage&q=%22O79%3AH1%22%20livestock&f=false,NF,Wild,B2,3290,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,4,830053,1.31,88.7,S,S,S,S,S,S,S,S,S
25964_1#176, PRJEB23294,ERS2428299, CAJGEJ010000001-CAJGEJ010000067 ,Aratinga ocularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eupsittula,NF,NF,NF,NF,Souza,O78,O78:H34,https://repositorio.unesp.br/bitstream/handle/11449/169342/2-s2.0-85009268762.pdf;jsessionid=91E99841A2C49CDD5116B3C54B7703FB?sequence=1,NF,NF,A,10,1,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,70,8,1040535,0.87,60.93,R,S,S,S,S,S,S,S,R
25964_1#119, PRJEB23294,ERS2428242, CAJGEO010000001-CAJGEO010000062 ,Homo sapiens,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,NF,NF,North America,Mexico,Souza,O78,O78:H2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4942469/,EAEC,NF,A,10,1,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,64,8,1281220,0.76,60.76,R,S,S,S,S,S,S,S,R
24742_1#311, PRJEB23294,ERS1995031, CAJGEK010000001-CAJGEK010000067 ,Leptonycteris nivalis,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris,NF,NF,North America,Mexico,Souza,O78,O78:H49,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,Close to City,B1,2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,7,746188,3.61,49.62,R,S,S,S,S,S,S,S,S
25964_1#191, PRJEB23294,ERS2428314, CAJGEN010000001-CAJGEN010000033 ,Odocoeileus virginianus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,NF,NF,North America,Mexico,Souza,O7,O7:H7,https://books.google.co.uk/books?id=651HFhtY748C&pg=PA226&lpg=PA226&dq=%22O7:H7%22+livestock&source=bl&ots=ljrGk9kmr9&sig=ACfU3U0KKDZ6XN5uGE9W2UY_8YqrkqKAlg&hl=en&sa=X&ved=2ahUKEwinzbX87IXkAhVvTxUIHde1D0sQ6AEwFnoECAgQAQ#v=onepage&q=%22O7%3AH7%22%20livestock&f=false,STEC,Wild,B1,4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,1293915,0.77,48.34,R,S,S,S,S,S,S,S,S
25964_1#264, PRJEB23294,ERS2428388, CAJGEP010000001-CAJGEP010000088 ,Tamandua mexicana,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,NF,NF,NF,NF,Souza,O65,O65:H11,No report,NF,NF,A,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,89,12,1170854,1.96,54.91,S,S,S,S,S,S,S,S,S
25964_1#103, PRJEB23294,ERS2428226, CAJGEL010000001-CAJGEL010000758 ,Homo sapiens,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,NF,NF,North America,Mexico,Souza,O6,O6:H52,No report,NF,NF,B1,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,10,1233584,1.82,57.42,R,S,R,S,S,S,S,S,S
24742_1#48, PRJEB23294,ERS1994997, CAJGEY010000001-CAJGEY010000044 ,Dasypus sp.,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,NF,NF,North America,Mexico,Souza,O6,O6:H30,https://jfoodprotection.org/doi/pdf/10.4315/0362-028X-70.2.440,STEC,Wild,B2,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,849550,0.79,89.79,S,S,S,S,S,S,S,S,S
25964_1#115, PRJEB23294,ERS2428238, CAJGEQ010000001-CAJGEQ010000092 ,Canis latrans,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,LEE,LEE3,North America,Mexico,Souza,O55,O55:H7,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/655588/Escherichia_coli_O55H7_outbreak_in_Dorset.pdf,EPEC,Wild,E,335,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,9,1097741,1.44,69.46,R,S,S,S,S,S,S,S,S
